athlete_id,full_name,gender,age,date_of_birth,sport,federation,personal_coach,height_cm,weight_kg,body_fat_percent,muscle_mass_percent,vo2_max_ml_kg_min,heart_rate_peak_bpm,resting_heart_rate_bpm,training_experience_years,reserve_level,enrollment_date,status,rating_position
ROWINGF007,Спортсмен rowing F 7,Ж,16,2009-07-08,Гребля,Федерация гребного спорта России,Ольга Васильева,190.7,64.8,27.0,36.6,41.2,199,63,2,Расширенный пул,2025-01-02,Активен,7
ROWINGF008,Спортсмен rowing F 8,Ж,17,2008-03-12,Гребля,Федерация гребного спорта России,Анна Петрова,165.6,75.6,16.3,38.9,61.7,177,57,5,Основной пул,2025-08-07,Активен,5
ROWINGF009,Спортсмен rowing F 9,Ж,16,2009-02-08,Гребля,Федерация гребного спорта России,Наталья Громова,168.6,55.6,25.5,32.8,51.2,178,67,6,Основной пул,2024-12-24,В отпуске,19
ROWINGF010,Спортсмен rowing F 10,Ж,15,2010-05-21,Гребля,Федерация гребного спорта России,Ольга Васильева,170.0,71.6,17.4,37.6,56.3,171,60,3,Расширенный пул,2025-02-01,В отпуске,3
SKIINGM001,Спортсмен skiing M 1,М,16,2009-09-27,Лыжные гонки,Федерация лыжных гонок России,Сергей Смирнов,181.9,57.6,6.7,41.6,66.8,193,61,3,Расширенный пул,2025-03-17,Активен,13
SKIINGM002,Спортсмен skiing M 2,М,15,2010-01-21,Лыжные гонки,Федерация лыжных гонок России,Виктор Козлов,179.2,66.8,9.1,45.6,67.8,186,63,5,Основной пул,2025-01-09,Активен,4
SKIINGM003,Спортсмен skiing M 3,М,15,2010-02-21,Лыжные гонки,Федерация лыжных гонок России,Дмитрий Лебедев,181.9,72.0,8.7,42.9,67.5,196,69,8,Основной пул,2024-11-25,Активен,4
SKIINGM004,Спортсмен skiing M 4,М,16,2009-04-14,Лыжные гонки,Федерация лыжных гонок России,Виктор Козлов,174.2,59.7,8.7,39.8,67.0,193,64,3,Основной пул,2025-10-18,Активен,17
SKIINGM005,Спортсмен skiing M 5,М,16,2009-03-08,Лыжные гонки,Федерация лыжных гонок России,Сергей Смирнов,185.3,63.4,22.9,41.9,59.9,186,62,2,Основной пул,2024-11-26,Активен,5
SKIINGM006,Спортсмен skiing M 6,М,16,2009-09-01,Лыжные гонки,Федерация лыжных гонок России,Виктор Козлов,181.6,67.8,11.7,37.5,55.9,189,64,6,Расширенный пул,2024-12-17,Активен,16
SKIINGM007,Спортсмен skiing M 7,М,16,2009-09-26,Лыжные гонки,Федерация лыжных гонок России,Сергей Смирнов,171.8,66.0,13.5,37.3,65.9,192,54,4,Основной пул,2025-06-19,Активен,8
SKIINGM008,Спортсмен skiing M 8,М,16,2009-10-13,Лыжные гонки,Федерация лыжных гонок России,Дмитрий Лебедев,180.8,71.5,16.2,35.9,59.4,194,62,2,Основной пул,2025-09-14,Активен,5
SKIINGM009,Спортсмен skiing M 9,М,16,2009-03-24,Лыжные гонки,Федерация лыжных гонок России,Дмитрий Лебедев,197.3,68.4,16.5,42.9,68.9,190,63,6,Расширенный пул,2025-06-06,В отпуске,7
SKIINGM010,Спортсмен skiing M 10,М,15,2009-12-04,Лыжные гонки,Федерация лыжных гонок России,Дмитрий Лебедев,176.8,62.1,12.3,46.9,53.8,195,51,3,Основной пул,2025-03-29,Активен,15
SKIINGF001,Спортсмен skiing F 1,Ж,16,2009-04-05,Лыжные гонки,Федерация лыжных гонок России,Людмила Федорова,172.4,58.3,14.6,32.9,58.4,183,61,2,Расширенный пул,2025-06-26,Активен,11
SKIINGF002,Спортсмен skiing F 2,Ж,16,2009-01-25,Лыжные гонки,Федерация лыжных гонок России,Елена Романова,163.7,68.7,23.2,28.9,55.9,184,64,6,Расширенный пул,2024-12-22,Активен,1
SKIINGF003,Спортсмен skiing F 3,Ж,15,2009-11-25,Лыжные гонки,Федерация лыжных гонок России,Елена Романова,166.4,60.5,24.3,31.4,53.3,185,56,7,Расширенный пул,2025-06-24,Активен,2
SKIINGF004,Спортсмен skiing F 4,Ж,17,2008-10-17,Лыжные гонки,Федерация лыжных гонок России,Татьяна Борисова,169.0,51.7,24.6,41.4,60.2,178,57,6,Расширенный пул,2025-05-30,В отпуске,7
SKIINGF005,Спортсмен skiing F 5,Ж,17,2008-09-16,Лыжные гонки,Федерация лыжных гонок России,Людмила Федорова,163.5,60.2,23.9,32.2,54.7,168,54,7,Основной пул,2025-06-17,В отпуске,14
SKIINGF006,Спортсмен skiing F 6,Ж,16,2009-10-05,Лыжные гонки,Федерация лыжных гонок России,Елена Романова,160.8,66.2,12.8,33.7,55.7,196,52,2,Основной пул,2025-04-21,В отпуске,14
SKIINGF007,Спортсмен skiing F 7,Ж,17,2008-10-26,Лыжные гонки,Федерация лыжных гонок России,Татьяна Борисова,167.1,53.1,22.3,35.6,52.0,188,58,7,Расширенный пул,2025-09-18,В отпуске,11
SKIINGF008,Спортсмен skiing F 8,Ж,16,2009-07-18,Лыжные гонки,Федерация лыжных гонок России,Елена Романова,170.3,65.9,13.8,41.4,45.2,187,62,3,Расширенный пул,2025-01-18,В отпуске,5
SKIINGF009,Спортсмен skiing F 9,Ж,16,2009-08-21,Лыжные гонки,Федерация лыжных гонок России,Татьяна Борисова,163.9,57.0,17.5,33.2,59.2,190,56,4,Основной пул,2025-06-14,Активен,15
SKIINGF010,Спортсмен skiing F 10,Ж,17,2008-10-03,Лыжные гонки,Федерация лыжных гонок России,Людмила Федорова,168.5,62.1,23.1,32.5,52.2,192,63,2,Расширенный пул,2025-09-02,Активен,6
BIATHLONM001,Спортсмен biathlon M 1,М,16,2009-03-19,Биатлон,Федерация биатлона России,Павел Комаров,179.6,73.7,9.2,43.6,66.8,192,65,5,Расширенный пул,2025-03-28,Активен,6
BIATHLONM002,Спортсмен biathlon M 2,М,17,2008-11-21,Биатлон,Федерация биатлона России,Павел Комаров,183.1,73.8,11.1,44.0,66.1,195,59,5,Основной пул,2025-03-01,Активен,14
BIATHLONM003,Спортсмен biathlon M 3,М,17,2008-02-12,Биатлон,Федерация биатлона России,Юрий Волков,182.0,61.1,17.3,39.0,60.7,199,63,7,Основной пул,2025-08-01,Активен,10
BIATHLONM004,Спортсмен biathlon M 4,М,17,2008-10-24,Биатлон,Федерация биатлона России,Константин Соколов,182.1,65.9,8.3,42.2,63.9,198,59,6,Расширенный пул,2025-05-12,Активен,2
BIATHLONM005,Спортсмен biathlon M 5,М,16,2009-03-23,Биатлон,Федерация биатлона России,Юрий Волков,177.4,68.5,9.3,39.5,69.5,195,57,6,Расширенный пул,2025-09-20,Активен,6
BIATHLONM006,Спортсмен biathlon M 6,М,16,2009-01-22,Биатлон,Федерация биатлона России,Константин Соколов,180.2,57.3,6.8,39.8,66.7,195,67,2,Расширенный пул,2025-03-27,Активен,19
BIATHLONM007,Спортсмен biathlon M 7,М,17,2008-01-31,Биатлон,Федерация биатлона России,Константин Соколов,178.2,65.9,8.0,41.9,66.3,195,55,6,Расширенный пул,2024-12-06,Активен,14
BIATHLONM008,Спортсмен biathlon M 8,М,17,2008-01-29,Биатлон,Федерация биатлона России,Юрий Волков,186.7,65.3,12.2,44.1,65.6,195,60,6,Основной пул,2025-06-08,Активен,11
BIATHLONF001,Спортсмен biathlon F 1,Ж,17,2008-07-10,Биатлон,Федерация биатлона России,Наталья Сударева,164.1,59.1,21.0,40.4,62.8,201,56,5,Расширенный пул,2024-11-23,Активен,15
BIATHLONF002,Спортсмен biathlon F 2,Ж,17,2008-10-16,Биатлон,Федерация биатлона России,Вероника Петрова,168.9,69.9,15.8,33.5,55.0,176,57,2,Основной пул,2024-12-05,Активен,3
BIATHLONF003,Спортсмен biathlon F 3,Ж,16,2009-08-05,Биатлон,Федерация биатлона России,Кристина Волкова,168.8,60.7,26.5,38.9,55.1,183,62,6,Основной пул,2025-08-13,Активен,3
BIATHLONF004,Спортсмен biathlon F 4,Ж,16,2009-05-17,Биатлон,Федерация биатлона России,Наталья Сударева,177.2,64.9,17.1,30.9,64.8,188,66,4,Расширенный пул,2025-03-09,Активен,20
BIATHLONF005,Спортсмен biathlon F 5,Ж,16,2009-02-25,Биатлон,Федерация биатлона России,Кристина Волкова,165.0,59.0,19.2,34.6,61.1,182,59,2,Основной пул,2025-08-27,Активен,9
BIATHLONF006,Спортсмен biathlon F 6,Ж,17,2008-09-29,Биатлон,Федерация биатлона России,Наталья Сударева,170.6,62.6,14.5,31.4,64.4,190,56,7,Расширенный пул,2025-06-02,Активен,20
BIATHLONF007,Спортсмен biathlon F 7,Ж,18,2007-06-01,Биатлон,Федерация биатлона России,Наталья Сударева,168.6,64.9,19.3,42.2,66.8,187,64,3,Основной пул,2025-02-03,В отпуске,9
BIATHLONF008,Спортсмен biathlon F 8,Ж,17,2008-10-06,Биатлон,Федерация биатлона России,Наталья Сударева,174.8,54.2,21.7,39.2,49.2,181,49,7,Основной пул,2025-05-31,Активен,1
